,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
510,Ahmed Johnson & Mankind vs. Hunter Hearst Helmsley & Jerry Lawler,06/02/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Ahmed Johnson,Mankind,Hunter Hearst Helmsley,Jerry Lawler,n/a,n/a,n/a,n/a
511,Road Warrior Animal & Road Warrior Hawk vs. Shawn Michaels & Steve Austin,06/02/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #212,Road Warrior Animal,Road Warrior Hawk,Shawn Michaels,Steve Austin,n/a,n/a,n/a,n/a
512,Flash Funk & Rocky Maivia vs. Mosh & Thrasher,05/26/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Flash Funk,Rocky Maivia,Mosh,Thrasher,n/a,n/a,n/a,n/a
513,Goldust vs. Jerry Lawler,05/26/1997,World Wrestling Federation,Singles,WWF RAW is WAR #211,Goldust,Jerry Lawler,n/a,n/a,n/a,n/a,n/a,n/a
514,Owen Hart & The British Bulldog vs. Shawn Michaels & Steve Austin,05/26/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #211,Owen Hart,The British Bulldog,Shawn Michaels,Steve Austin,n/a,n/a,n/a,n/a
515,Rockabilly vs. Rocky Maivia,05/12/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #20,Rockabilly,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
516,Blackjack Bradshaw & Blackjack Windham vs. Doug Furnas & Philip LaFon vs. Mosh & Thrasher vs. Owen Hart & The British Bulldog,05/12/1997,World Wrestling Federation,Four Way Elimination Tag Team,WWF RAW is WAR #209,Blackjack Bradshaw,Blackjack Windham,Doug Furnas,Philip LaFon,Mosh,Thrasher,Owen Hart,The British Bulldog
517,Flash Funk vs. Hunter Hearst Helmsley,05/11/1997,World Wrestling Federation,Singles,WWF In Your House 15: A Cold Day In Hell,Flash Funk,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
518,Mankind vs. Rocky Maivia,05/11/1997,World Wrestling Federation,Singles,WWF In Your House 15: A Cold Day In Hell,Mankind,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
519,Steve Austin vs. The Undertaker,05/11/1997,World Wrestling Federation,Singles,WWF In Your House 15: A Cold Day In Hell,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
520,"Ahmed Johnson vs. Crush, Faarooq & Savio Vega",05/11/1997,World Wrestling Federation,Three On One Handicap Gauntlet,WWF In Your House 15: A Cold Day In Hell,Ahmed Johnson,Crush,Faarooq,Savio Vega,n/a,n/a,n/a,n/a
521,Ken Shamrock vs. Vader,05/11/1997,World Wrestling Federation,No Holds Barred,WWF In Your House 15: A Cold Day In Hell,Ken Shamrock,Vader,n/a,n/a,n/a,n/a,n/a,n/a
522,Hunter Hearst Helmsley vs. Mankind,05/05/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Hunter Hearst Helmsley,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
523,Goldust vs. Vader,05/05/1997,World Wrestling Federation,Singles,WWF RAW is WAR #208,Goldust,Vader,n/a,n/a,n/a,n/a,n/a,n/a
524,Doug Furnas & Philip LaFon vs. Road Warrior Animal & Road Warrior Hawk,05/05/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #208,Doug Furnas,Philip LaFon,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
525,Steve Austin vs. The British Bulldog,05/05/1997,World Wrestling Federation,Singles,WWF RAW is WAR #208,Steve Austin,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
526,Owen Hart vs. Rocky Maivia,04/28/1997,World Wrestling Federation,Singles,WWF RAW is WAR #207,Owen Hart,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
527,Goldust vs. Hunter Hearst Helmsley,04/28/1997,World Wrestling Federation,Singles,WWF RAW is WAR #207,Goldust,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
528,Jesse Jammes vs. Rockabilly,04/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #206,Jesse Jammes,Rockabilly,n/a,n/a,n/a,n/a,n/a,n/a
529,Bret Hart vs. Steve Austin,04/21/1997,World Wrestling Federation,Street Fight,WWF RAW is WAR #206,Bret Hart,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
530,Hunter Hearst Helmsley vs. The Undertaker,04/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #206,Hunter Hearst Helmsley,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
531,Owen Hart & The British Bulldog vs. Road Warrior Animal & Road Warrior Hawk,04/20/1997,World Wrestling Federation,Tag Team,WWF In Your House 14: Revenge Of The Taker,Owen Hart,The British Bulldog,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
532,Rocky Maivia vs. Savio Vega,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker,Rocky Maivia,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
533,Jesse Jammes vs. Rockabilly,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker,Jesse Jammes,Rockabilly,n/a,n/a,n/a,n/a,n/a,n/a
534,Mankind vs. The Undertaker,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker,Mankind,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
535,Bret Hart vs. Steve Austin,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker,Bret Hart,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
536,Flash Funk vs. Salvatore Sincere,04/09/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Flash Funk,Salvatore Sincere,n/a,n/a,n/a,n/a,n/a,n/a
537,Rocky Maivia vs. Savio Vega,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205,Rocky Maivia,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
538,Hunter Hearst Helmsley vs. Jesse Jammes,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205,Hunter Hearst Helmsley,Jesse Jammes,n/a,n/a,n/a,n/a,n/a,n/a
539,Goldust vs. The Sultan,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205,Goldust,The Sultan,n/a,n/a,n/a,n/a,n/a,n/a
540,Ahmed Johnson vs. Crush,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205,Ahmed Johnson,Crush,n/a,n/a,n/a,n/a,n/a,n/a
541,Henry O. Godwinn & Phineas I. Godwinn vs. Owen Hart & The British Bulldog,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #204,Henry O. Godwinn,Phineas I. Godwinn,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
542,Billy Gunn vs. Steve Austin,04/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #204,Billy Gunn,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
543,Henry O. Godwinn & Phineas I. Godwinn vs. Road Warrior Animal & Road Warrior Hawk,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #205,Henry O. Godwinn,Phineas I. Godwinn,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
544,Mankind & Vader vs. Mosh & Thrasher,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #205,Mankind,Vader,Mosh,Thrasher,n/a,n/a,n/a,n/a
545,Mankind vs. Steve Austin,04/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #204,Mankind,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
546,Bret Hart vs. Rocky Maivia,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203,Bret Hart,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
547,Owen Hart vs. The British Bulldog,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
548,Goldust vs. Hunter Hearst Helmsley,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203,Goldust,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
549,Histeria vs. Venum,03/24/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Histeria,Venum,n/a,n/a,n/a,n/a,n/a,n/a
550,Mosh & Thrasher vs. Owen Hart & The British Bulldog,03/24/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #202,Mosh,Thrasher,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
551,Bart Gunn vs. Hunter Hearst Helmsley,03/24/1997,World Wrestling Federation,Singles,WWF RAW is WAR #202,Bart Gunn,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
552,Ahmed Johnson vs. Savio Vega,03/24/1997,World Wrestling Federation,Singles,WWF RAW is WAR #202,Ahmed Johnson,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
553,Blackjack Bradshaw & Blackjack Windham vs. Doug Furnas & Philip LaFon vs. Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,03/23/1997,World Wrestling Federation,Four Way Elimination Tag Team,"WWF WrestleMania 13 - ""Heat""",Blackjack Bradshaw,Blackjack Windham,Doug Furnas,Philip LaFon,Henry O. Godwinn,Phineas I. Godwinn,Mosh,Thrasher
554,Rocky Maivia vs. The Sultan,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat""",Rocky Maivia,The Sultan,n/a,n/a,n/a,n/a,n/a,n/a
555,Goldust vs. Hunter Hearst Helmsley,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat""",Goldust,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
556,Mankind & Vader vs. Owen Hart & The British Bulldog,03/23/1997,World Wrestling Federation,Tag Team,"WWF WrestleMania 13 - ""Heat""",Mankind,Vader,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
557,Sycho Sid vs. The Undertaker,03/23/1997,World Wrestling Federation,No Disqualification,"WWF WrestleMania 13 - ""Heat""",Sycho Sid,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
558,Billy Gunn vs. Flash Funk,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat""",Billy Gunn,Flash Funk,n/a,n/a,n/a,n/a,n/a,n/a
559,Bret Hart vs. Steve Austin,03/23/1997,World Wrestling Federation,No Holds Barred Submission,"WWF WrestleMania 13 - ""Heat""",Bret Hart,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
560,"Ahmed Johnson, Road Warrior Animal & Road Warrior Hawk vs. Crush, Faarooq & Savio Vega",03/23/1997,World Wrestling Federation,Six Man Tag Team Street Fight,"WWF WrestleMania 13 - ""Heat""",Ahmed Johnson,Road Warrior Animal,Road Warrior Hawk,Crush,Faarooq,Savio Vega,n/a,n/a
561,Bret Hart vs. Sycho Sid,03/17/1997,World Wrestling Federation,Steel Cage,WWF RAW is WAR #201,Bret Hart,Sycho Sid,n/a,n/a,n/a,n/a,n/a,n/a
562,Crush & Savio Vega vs. Road Warrior Animal & Road Warrior Hawk,03/17/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #201,Crush,Savio Vega,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
563,Flash Funk vs. Hunter Hearst Helmsley,03/17/1997,World Wrestling Federation,Singles,WWF RAW is WAR #201,Flash Funk,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
564,The British Bulldog vs. Vader,03/17/1997,World Wrestling Federation,Singles,WWF RAW is WAR #201,The British Bulldog,Vader,n/a,n/a,n/a,n/a,n/a,n/a
565,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,03/16/1997,World Wrestling Federation,Tag Team,WWF on MSG Network,Doug Furnas,Philip LaFon,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
566,The Undertaker vs. Vader,03/16/1997,World Wrestling Federation,Casket,WWF on MSG Network,The Undertaker,Vader,n/a,n/a,n/a,n/a,n/a,n/a
567,Flash Funk vs. The Sultan,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network,Flash Funk,The Sultan,n/a,n/a,n/a,n/a,n/a,n/a
568,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn,03/16/1997,World Wrestling Federation,Tag Team,WWF on MSG Network,Blackjack Bradshaw,Blackjack Windham,Henry O. Godwinn,Phineas I. Godwinn,n/a,n/a,n/a,n/a
569,Ahmed Johnson vs. Savio Vega,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network,Ahmed Johnson,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
570,Hunter Hearst Helmsley vs. Rocky Maivia,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network,Hunter Hearst Helmsley,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
571,Faarooq vs. Goldust,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network,Faarooq,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
572,"Heavy Metal, Pentagon & Pierroth vs. Hector Garza, Latin Lover & Octagon",03/10/1997,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #200,Heavy Metal,Pentagon,Pierroth,Hector Garza,Latin Lover,Octagon,n/a,n/a
573,Blackjack Bradshaw & Blackjack Windham vs. Owen Hart & The British Bulldog,03/10/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #200,Blackjack Bradshaw,Blackjack Windham,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
574,Mankind & Vader vs. Sycho Sid & The Undertaker,03/10/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #200,Mankind,Vader,Sycho Sid,The Undertaker,n/a,n/a,n/a,n/a
575,Owen Hart vs. The British Bulldog,03/03/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
576,Rocky Maivia vs. Vader,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199,Rocky Maivia,Vader,n/a,n/a,n/a,n/a,n/a,n/a
577,Bret Hart vs. Hunter Hearst Helmsley,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199,Bret Hart,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
578,Flash Funk vs. The Sultan,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199,Flash Funk,The Sultan,n/a,n/a,n/a,n/a,n/a,n/a
579,Mankind vs. Sycho Sid,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199,Mankind,Sycho Sid,n/a,n/a,n/a,n/a,n/a,n/a
580,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn,02/24/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #198 - ECW Invasion,Blackjack Bradshaw,Blackjack Windham,Henry O. Godwinn,Phineas I. Godwinn,n/a,n/a,n/a,n/a
581,Goldust vs. Savio Vega,02/24/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #198 - ECW Invasion,Goldust,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
582,Mosh & Thrasher vs. Road Warrior Animal & Road Warrior Hawk,02/24/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #198 - ECW Invasion,Mosh,Thrasher,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
583,Faarooq vs. The Undertaker,02/24/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #198 - ECW Invasion,Faarooq,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
584,Bret Hart vs. Sycho Sid,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197,Bret Hart,Sycho Sid,n/a,n/a,n/a,n/a,n/a,n/a
585,Leif Cassidy vs. Rocky Maivia,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197,Leif Cassidy,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
586,Flash Funk vs. Owen Hart,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197,Flash Funk,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
587,Leif Cassidy vs. Marc Mero,02/16/1997,World Wrestling Federation,Singles,WWF In Your House 13: Final Four,Leif Cassidy,Marc Mero,n/a,n/a,n/a,n/a,n/a,n/a
588,"Bart Gunn, Flash Funk & Goldust vs. Crush, Faarooq & Savio Vega",02/16/1997,World Wrestling Federation,Six Man Tag Team,WWF In Your House 13: Final Four,Bart Gunn,Flash Funk,Goldust,Crush,Faarooq,Savio Vega,n/a,n/a
589,Hunter Hearst Helmsley vs. Rocky Maivia,02/16/1997,World Wrestling Federation,Singles,WWF In Your House 13: Final Four,Hunter Hearst Helmsley,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
590,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,02/16/1997,World Wrestling Federation,Tag Team,WWF In Your House 13: Final Four,Doug Furnas,Philip LaFon,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
591,Bret Hart vs. Steve Austin vs. The Undertaker vs. Vader,02/16/1997,World Wrestling Federation,Battle Royal,WWF In Your House 13: Final Four,Bret Hart,Steve Austin,The Undertaker,Vader,n/a,n/a,n/a,n/a
592,Hunter Hearst Helmsley vs. Rocky Maivia,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday,Hunter Hearst Helmsley,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
593,Aldo Montoya & Bob Holly vs. Mosh & Thrasher,02/13/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW - Thursday RAW Thursday,Aldo Montoya,Bob Holly,Mosh,Thrasher,n/a,n/a,n/a,n/a
594,Savio Vega vs. The Undertaker,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday,Savio Vega,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
595,Crush & Faarooq vs. Owen Hart & The British Bulldog,02/13/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW - Thursday RAW Thursday,Crush,Faarooq,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
596,Bret Hart vs. Vader,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday,Bret Hart,Vader,n/a,n/a,n/a,n/a,n/a,n/a
597,Hunter Hearst Helmsley vs. The Undertaker,02/08/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #6,Hunter Hearst Helmsley,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
598,Crush & Faarooq vs. Henry O. Godwinn & Phineas I. Godwinn,02/08/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #6,Crush,Faarooq,Henry O. Godwinn,Phineas I. Godwinn,n/a,n/a,n/a,n/a
599,Aldo Montoya vs. Savio Vega,02/08/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #6,Aldo Montoya,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
600,"Aldo Montoya, Henry O. Godwinn & Phineas I. Godwinn vs. Crush, Faarooq & Savio Vega",02/08/1997,World Wrestling Federation,Six Man Tag Team,WWF Shotgun Saturday Night #6,Aldo Montoya,Henry O. Godwinn,Phineas I. Godwinn,Crush,Faarooq,Savio Vega,n/a,n/a
601,Ahmed Johnson vs. Vader,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5,Ahmed Johnson,Vader,n/a,n/a,n/a,n/a,n/a,n/a
602,Mankind vs. The British Bulldog,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5,Mankind,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
603,Jesse Jammes vs. Savio Vega,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5,Jesse Jammes,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
604,Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,02/01/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #5,Henry O. Godwinn,Phineas I. Godwinn,Mosh,Thrasher,n/a,n/a,n/a,n/a
605,Bret Hart vs. Shawn Michaels vs. Sycho Sid,01/31/1997,World Wrestling Federation,Triple Threat Elimination,WWF Monday Night RAW #196,Bret Hart,Shawn Michaels,Sycho Sid,n/a,n/a,n/a,n/a,n/a
606,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,01/31/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #196,Doug Furnas,Philip LaFon,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
607,Steve Austin vs. Vader,01/31/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #196,Steve Austin,Vader,n/a,n/a,n/a,n/a,n/a,n/a
608,Crush vs. Goldust,01/31/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #196,Crush,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
609,Ahmed Johnson & The Undertaker vs. Faarooq & Mankind,01/31/1997,World Wrestling Federation,No Holds Barred Tag Team,WWF Monday Night RAW #196,Ahmed Johnson,The Undertaker,Faarooq,Mankind,n/a,n/a,n/a,n/a
610,Rocky Maivia vs. Savio Vega,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4,Rocky Maivia,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
611,Crush vs. Sycho Sid,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4,Crush,Sycho Sid,n/a,n/a,n/a,n/a,n/a,n/a
612,Bret Hart vs. Mankind,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4,Bret Hart,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
613,Steve Austin vs. Vader,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #539,Steve Austin,Vader,n/a,n/a,n/a,n/a,n/a,n/a
614,Crush & Faarooq vs. Doug Furnas & Philip LaFon vs. Henry O. Godwinn & Phineas I. Godwinn vs. Owen Hart & The British Bulldog,01/21/1997,World Wrestling Federation,Four Way Tag Team,WWF Superstars #537,Crush,Faarooq,Doug Furnas,Philip LaFon,Henry O. Godwinn,Phineas I. Godwinn,Owen Hart,The British Bulldog
615,Ahmed Johnson vs. Hunter Hearst Helmsley,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #537,Ahmed Johnson,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
616,Marc Mero vs. The Undertaker,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #538,Marc Mero,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
617,Fuerza Guerrera & Heavy Metal vs. Hector Garza & Octagon,01/21/1997,World Wrestling Federation,Tag Team,WWF Superstars #539,Fuerza Guerrera,Heavy Metal,Hector Garza,Octagon,n/a,n/a,n/a,n/a
618,Steve Austin vs. The Undertaker,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #194,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
619,Bart Gunn vs. Faarooq,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #194,Bart Gunn,Faarooq,n/a,n/a,n/a,n/a,n/a,n/a
620,Ahmed Johnson vs. Crush,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #195,Ahmed Johnson,Crush,n/a,n/a,n/a,n/a,n/a,n/a
621,Doug Furnas vs. The British Bulldog,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #195,Doug Furnas,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
622,Henry O. Godwinn & Phineas I. Godwinn vs. Mankind & Vader,01/20/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #195,Henry O. Godwinn,Phineas I. Godwinn,Mankind,Vader,n/a,n/a,n/a,n/a
623,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,01/20/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #194,Doug Furnas,Philip LaFon,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
624,Goldust vs. Hunter Hearst Helmsley,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997,Goldust,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
625,Ahmed Johnson vs. Faarooq,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997,Ahmed Johnson,Faarooq,n/a,n/a,n/a,n/a,n/a,n/a
626,The Undertaker vs. Vader,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997,The Undertaker,Vader,n/a,n/a,n/a,n/a,n/a,n/a
627,"Canek, Hector Garza & Perro Aguayo vs. Fuerza Guerrera, Heavy Metal & Jerry Estrada",01/19/1997,World Wrestling Federation,Six Man Tag Team,WWF Royal Rumble 1997,Canek,Hector Garza,Perro Aguayo,Fuerza Guerrera,Heavy Metal,Jerry Estrada,n/a,n/a
628,Shawn Michaels vs. Sycho Sid,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997,Shawn Michaels,Sycho Sid,n/a,n/a,n/a,n/a,n/a,n/a
629,Hunter Hearst Helmsley vs. Rocky Maivia,01/18/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #3,Hunter Hearst Helmsley,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
630,Histeria & Mini Mankind vs. Mascarita Sagrada Jr. & Venum,01/18/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #3,Histeria,Mini Mankind,Mascarita Sagrada Jr.,Venum,n/a,n/a,n/a,n/a
631,Goldust vs. Steve Austin,01/18/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #3,Goldust,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
632,Faarooq vs. Savio Vega,01/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #2,Faarooq,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
633,Razor Ramon vs. Rocky Maivia,01/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #2,Razor Ramon,Rocky Maivia,n/a,n/a,n/a,n/a,n/a,n/a
